bg2010,total,totalSE,ownerTotal,ownerTotal,ownerMoveInR1,ownerMoveInR1SE,ownerMoveInR2,ownerMoveInR2SE,ownerMoveInR3,ownerMoveInR3SE,ownerMoveInR4,ownerMoveInR4SE,ownerMoveInR5,ownerMoveInR5SE,ownerMoveInR6,ownerMoveInR6SE,renterTotal,renterTotalSE,renterMoveInR1,renterMoveInR1SE,renterMoveInR2,renterMoveInR2SE,renterMoveInR3,renterMoveInR3SE,renterMoveInR4,renterMoveInR4SE,renterMoveInR5,renterMoveInR5SE,renterMoveInR6,renterMoveInR6SE
240317001041,839,73,729,85,35,32,51,43,175,64,264,71,135,53,69,39,110,63,0,12,41,50,40,38,20,21,9,14,0,12
240317001042,711,81,564,94,12,20,74,59,134,51,191,75,89,51,64,36,147,88,0,12,10,16,112,84,17,28,0,12,8,12
240317001051,471,106,316,98,0,12,21,33,96,64,94,65,75,44,30,37,155,97,0,12,1,16,131,95,23,37,0,12,0,12
240317001052,660,97,634,94,39,46,0,12,113,75,277,86,173,82,32,38,26,30,0,12,15,25,11,18,0,12,0,12,0,12
240317002071,859,90,693,84,42,39,40,30,103,53,245,68,85,54,178,42,166,92,0,12,10,16,113,61,43,64,0,12,0,12
240317002072,965,108,774,105,26,30,20,21,132,75,334,94,117,53,145,63,191,81,0,12,67,52,104,74,20,21,0,12,0,12
240317002081,408,47,327,48,3,6,11,12,45,37,68,25,83,38,117,43,81,41,17,27,0,12,30,16,28,28,0,12,6,10
240317002082,337,44,304,47,0,12,8,11,71,30,125,42,29,19,71,28,33,33,0,12,18,27,10,15,0,12,0,12,5,7
240317003043,702,119,702,119,0,12,13,23,116,78,286,125,287,100,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
240317003044,955,153,285,84,11,20,0,12,105,70,89,53,80,59,0,12,670,159,175,110,296,135,147,105,52,48,0,12,0,12
240317003063,851,135,621,128,0,12,60,50,61,46,273,103,213,90,14,22,230,107,13,21,104,83,95,67,0,12,18,27,0,12
240317003083,367,114,299,122,0,12,14,24,131,98,125,84,29,44,0,12,68,51,0,12,10,17,32,38,26,37,0,12,0,12
240317003112,378,91,356,96,0,12,24,28,77,74,153,84,23,29,79,51,22,26,0,12,0,12,10,16,12,20,0,12,0,12
240317003084,867,142,719,133,0,12,52,50,118,72,303,126,137,77,109,58,148,110,21,17,80,97,32,37,15,24,0,12,0,12
240317003104,332,118,332,118,0,12,100,106,19,29,66,46,93,58,54,41,0,12,0,12,0,12,0,12,0,12,0,12,0,12
240317003111,1348,161,1130,143,81,78,136,63,409,122,454,135,0,12,50,35,218,115,15,24,40,49,103,88,60,57,0,12,0,12
240317003113,1347,148,1243,157,0,12,177,102,430,109,636,147,0,12,0,12,104,64,0,12,25,30,55,50,12,19,0,12,12,20
240317003121,287,64,267,60,11,17,21,25,23,26,64,38,73,46,75,42,20,24,11,18,0,12,0,12,9,16,0,12,0,12
240317003122,655,89,628,91,10,15,92,75,108,54,278,90,13,19,127,54,27,25,0,12,8,14,0,12,19,22,0,12,0,12
240317003123,930,92,790,103,66,46,44,40,212,68,405,84,16,19,47,48,140,72,0,12,27,42,81,51,32,39,0,12,0,12
240317006111,648,67,590,71,7,11,25,29,105,43,432,85,8,14,13,12,58,36,13,22,0,12,29,27,16,17,0,12,0,12
240317006131,723,115,674,117,17,26,72,54,119,64,374,139,59,52,33,27,49,37,29,30,0,12,20,33,0,12,0,12,0,12
240317006132,762,105,649,110,51,52,54,49,103,69,247,90,194,90,0,12,113,69,0,12,20,31,93,64,0,12,0,12,0,12
240317006134,429,92,0,12,0,12,0,12,0,12,0,12,0,12,0,12,429,92,38,42,87,52,179,97,125,89,0,12,0,12
240317006141,745,117,455,131,0,12,15,24,154,110,133,91,12,20,141,86,290,133,66,83,65,61,102,68,35,57,22,33,0,12
240317006143,1126,110,464,126,20,32,89,86,90,69,122,67,143,87,0,12,662,149,98,104,75,63,390,141,99,80,0,12,0,12
240317006151,454,41,419,45,5,8,63,31,66,37,127,39,60,27,98,32,35,21,4,8,0,12,24,20,0,12,0,12,7,10
240317006161,409,52,350,60,10,15,11,17,55,32,97,45,177,61,0,12,59,67,0,12,17,26,42,66,0,12,0,12,0,12
240317006162,657,69,597,74,12,19,9,15,80,44,220,68,161,67,115,43,60,37,9,14,7,11,44,32,0,12,0,12,0,12
240317007105,333,99,333,99,0,12,16,25,15,25,99,53,143,103,60,61,0,12,0,12,0,12,0,12,0,12,0,12,0,12
240317007133,934,157,0,12,0,12,0,12,0,12,0,12,0,12,0,12,934,157,36,45,276,141,561,144,61,69,0,12,0,12
240317007172,436,131,149,61,0,12,0,12,35,47,41,36,17,25,56,42,287,119,15,24,103,78,111,84,58,53,0,12,0,12
240317007173,817,157,552,140,12,20,13,22,51,48,180,115,104,66,192,93,265,130,50,80,77,57,59,45,60,72,19,31,0,12
