bg2010,total,totalSE,ownerTotal,ownerTotalSE,ownerPprR1,ownerPprR1SE,ownerPprR2,ownerPprR2SE,ownerPprR3,ownerPprR3SE,ownerPprR4,ownerPprR4SE,ownerPprR5,ownerPprR5SE,renterTotal,renterTotalSE,renterPprR1,renterPprR1SE,renterPprR2,renterPprR2SE,renterPprR3,renterPprR3SE,renterPprR4,renterPprR4SE,renterPprR5,renterPprR5SE
240317001041,839,73,729,85,554,79,175,71,0,12,0,12,0,12,110,63,29,26,81,54,0,12,0,12,0,12
240317001042,711,81,564,94,409,77,132,68,23,28,0,12,0,12,147,88,10,16,104,80,33,48,0,12,0,12
240317001051,471,106,316,98,226,87,78,65,12,20,0,12,0,12,155,97,65,60,90,82,0,12,0,12,0,12
240317001052,660,97,634,94,553,101,81,65,0,12,0,12,0,12,26,30,26,30,0,12,0,12,0,12,0,12
240317002071,859,90,693,84,481,83,199,62,7,13,0,12,6,10,166,92,62,44,94,85,10,16,0,12,0,12
240317002072,965,108,774,105,609,93,128,61,37,44,0,12,0,12,191,81,131,81,60,45,0,12,0,12,0,12
240317002081,408,47,327,48,282,50,39,30,6,9,0,12,0,12,81,41,59,33,22,26,0,12,0,12,0,12
240317002082,337,44,304,47,279,48,25,17,0,12,0,12,0,12,33,33,23,28,10,15,0,12,0,12,0,12
240317003043,702,119,702,119,552,142,150,76,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
240317003044,955,153,285,84,217,85,51,49,17,28,0,12,0,12,670,159,385,133,285,147,0,12,0,12,0,12
240317003063,851,135,621,128,452,120,169,85,0,12,0,12,0,12,230,107,59,47,171,98,0,12,0,12,0,12
240317003083,367,114,299,122,253,126,46,48,0,12,0,12,0,12,68,51,58,53,0,12,10,17,0,12,0,12
240317003112,378,91,356,96,316,96,40,37,0,12,0,12,0,12,22,26,22,26,0,12,0,12,0,12,0,12
240317003084,867,142,719,133,554,131,143,79,22,31,0,12,0,12,148,110,100,96,48,47,0,12,0,12,0,12
240317003104,332,118,332,118,332,118,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
