datasetName,datasetUrl,datasetDescr,datasetCategory,update,tags,catUrl,catPage
1-2014,https://data.montgomerycountymd.gov/Government/1-2014/48hs-xzv4," Information on all MC311 Service Requests received (via email or phone) since July 1, 2012. This data is updated daily. ",Government,January 29 2020,"services,mc311,",https://data.montgomerycountymd.gov/browse?&page=9,9
2011 Cable Complaints by City,https://data.montgomerycountymd.gov/Government/2011-Cable-Complaints-by-City/kxu3-tuea, Pie chart display of all cable complaints filed with the Montgomery County Cable Office in calendar year 2011 by city. ,Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=51,51
2011 Cable Complaints by Service Provider,https://data.montgomerycountymd.gov/Government/2011-Cable-Complaints-by-Service-Provider/i872-fvgz," Pie chart display of all cable complaints filed with the Montgomery County Cable Office in calendar year 2011, by service provider. ",Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=45,45
2011 Cable Complaints - By Type of Complaint,https://data.montgomerycountymd.gov/Government/2011-Cable-Complaints-By-Type-of-Complaint/zf4x-g6z6," Bar chart display of all cable complaints filed with the Montgomery County Cable Office in calendar year 2011, by type of complaint. ",Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=31,31
2011 Cable Complaints Rollup by Service Provider,https://data.montgomerycountymd.gov/Government/2011-Cable-Complaints-Rollup-by-Service-Provider/3xqt-9yuu, Rollup of all cable complaints filed with the Montgomery County Cable Office in calendar year 2011. ,Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=43,43
2012 Cable Complaints by City,https://data.montgomerycountymd.gov/Government/2012-Cable-Complaints-by-City/3zw5-2zdd, Pie chart display of all cable complaints filed with the Montgomery County Cable Office in calendar year 2012 by city. ,Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=43,43
2012 Cable Complaints by Service Provider,https://data.montgomerycountymd.gov/Government/2012-Cable-Complaints-by-Service-Provider/nwmb-7vpu," Pie chart display of all cable complaints filed with the Montgomery County Cable Office in calendar year 2012, by service provider. ",Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=52,52
2012 Cable Complaints - By Type of Complaint,https://data.montgomerycountymd.gov/Government/2012-Cable-Complaints-By-Type-of-Complaint/v9jv-7r4v," Bar chart display of all cable complaints filed with the Montgomery County Cable Office in calendar year 2012, by type of complaint. ",Government,January 10 2020,"complaints,cable,",https://data.montgomerycountymd.gov/browse?&page=50,50
2012 Election Polling Places,https://data.montgomerycountymd.gov/Elections/2012-Election-Polling-Places/3b5m-syzr," Location of all 2012 Election Polling Places, including the Early Voting Centers. ",Elections,May 28 2015,"vote,polling place,election,",https://data.montgomerycountymd.gov/browse?&page=12,12
2013 to Present Allegation Timeline Chart,https://data.montgomerycountymd.gov/Public-Safety/2013-to-Present-Allegation-Timeline-Chart/7sf8-jv2m, This dataset contains allegations brought to the attention of the Internal Affairs Division either through external complaints or internal complaint or recognition. Any information that can be used to uniquely identify the complainant or the involved employee will not be published. Update Frequency : Weekly. ,Public Safety,January 24 2020,"finding,allegations,internal affair,",https://data.montgomerycountymd.gov/browse?&page=44,44
2014 Early Voting Centers Map,https://data.montgomerycountymd.gov/Elections/2014-Early-Voting-Centers-Map/t6va-wv46," Map of 2014 early voting locations in Montgomery County as selected October 21, 2013, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,August 28 2016,"vote,polling place,election,",https://data.montgomerycountymd.gov/browse?&page=2,2
2014 Election - Early Voting Centers,https://data.montgomerycountymd.gov/Elections/2014-Election-Early-Voting-Centers/2bng-h6xm," 2014 early voting locations in Montgomery County as selected October 21, 2013, subject to approval by the Maryland State Board of Elections. For more information, see www.777vote.org. ",Elections,May 28 2015,"vote,polling place,election,",https://data.montgomerycountymd.gov/browse?&page=39,39
2015 Facility Closures,https://data.montgomerycountymd.gov/Health-and-Human-Services/2015-Facility-Closures/czhi-byv9," The Licensure & Regulatory Services Program inspects all licensed retail food establishments in Montgomery County for a variety of reasons (e.g. obtaining a permit, regular check-ups, or in response to complaints.) Included in this overall surveillance are two types of inspections that are conducted on a routine basis. The first type, a comprehensive inspection, is a thorough inspection that evaluates the sanitation, maintenance, and food service operations for the facility. This inspection includes many of the items found in the monitoring inspection, such as critical temperatures and food handling procedures. The second type, a monitoring inspection, involves checking the food service operation for critical food temperatures, equipment temperatures, and general food handling / cleanliness practices. While monitoring inspections are not as detailed as environmental inspections, they help ensure that the facility is operating safely throughout the year. The frequency of inspections is based on the food-borne illness risks associated with the food being processed at a facility. Based on the risk each facility is designated as high, medium, or low priority. High priority risk facilities prepare food products a day or more in advance or utilize any combination of two or more processes such as a cooking, cooling, reheating and hot holding food over four hours. Moderate priority risk facilities prepare and cook food products which are served immediately or within four hours. A low priority risk facility serve prepackage foods that are not potentially hazardous. For high risk facilities, a monitoring inspection is conducted at least twice a year, and moderate risk facilities are inspected at least once a year. High and moderate risk facilities also receive at least one comprehensive inspection every year. Low risk priority facilities typically receive one comprehensive inspection every two years. (C) Denotes a Critical Violation. A Critical Violation means a food safety requirement that requires immediate correction. Failure for immediate correction results in cessation of some or all food operations or closure of the facility until violation is able to be corrected. Update Frequency: Daily ",Health and Human Services,January 29 2020,"restaurant,closures,violations,inspection,food,",https://data.montgomerycountymd.gov/browse?&page=29,29
