License Number,Community Name, Street Address,City,Zip Code,Case Number,Longitude,Latitude,First Inspection Date,Next Inspection Date,Inspection Frequency,Compliant,Unit Count,Units Inspected,Average Violations Per Unit,Severity Index,No Violations Observed,Infested Units Percentage,Units with Mold,Analysis Rating,Location
62427,The Veridian At Silver Spring Metro,1133 East West Hwy,Silver Spring,20910,154466,-77.027783253,38.989346504,05/14/2019,,3,1,457,106,0.17,0.29,87,0.00,0.00,compliant,"(38.9893, -77.0278)"
84793,Bainbridge Bethesda,4918 St Elmo Ave,Bethesda,20814,149950,-77.097537438,38.988359097,01/14/2020,,3,1,200,47,0.25,0.27,40,0.00,0.00,compliant,"(38.9884, -77.0975)"
18225,Brooke Park Apartments,6301 MacArthur Blvd,Bethesda,20816-3215,146561,0,0,09/27/2018,,1,1,18,16,6.56,1.98,0,0.06,0.25,troubled,"(0.0, 0.0)"
42887,Residences At Capital Crescent Trail,5333 Westbard Ave,Bethesda,20816,154239,-77.106593701,38.961835897,04/19/2019,,3,1,258,59,0.67,0.84,27,0.00,0.00,compliant,"(38.9618, -77.1066)"
90329,The Pearl,180 High Park Ln,Silver Spring,20910,,-77.033623714,38.991240851,,,3,0,284,,,,,,,compliant,"(38.9912, -77.0336)"
39309,Churchill Senior Living,21000 Father Hurley Blvd,Germantown,20874,153703,-77.273835662,39.190486272,03/29/2019,,3,1,121,15,1.20,0.43,12,0.00,0.00,compliant,"(39.1905, -77.2738)"
115288,Axis at Shady Grove Apartments,9305 Corporate Blvd,Rockville,20850,,-77.192238039,39.107829768,,,3,0,366,,,,,,,compliant,"(39.1078, -77.1922)"
92761,Hanover Shady Grove Apartments,9305 Corporate Blvd,Rockville,20850,,-77.192238039,39.107829768,,,3,0,366,,,,,,,compliant,"(39.1078, -77.1922)"
17165,Strathmore House,3004 Bel Pre Rd,Silver Spring,20906,154241,-77.061278058,39.090985389,05/29/2019,,3,1,210,44,1.00,0.91,24,0.09,0.00,compliant,"(39.091, -77.0613)"
17157,Nob Hill Apartments,9120 Piney Branch Rd,Silver Spring,20903,146183,-76.989165139,39.000862796,04/04/2018,,3,1,396,99,1.67,1.48,19,0.03,0.05,compliant,"(39.0009, -76.9892)"
